legal_status,record_count,legal_status_norm_proposed,illness_addition_proposed,removed_detail,review_tier,owner_decision,owner_legal_status_norm,owner_illness_addition,reviewer_notes
Поселенец,2929,Поселенец,,,straightforward,approve,Поселенец,,
Ссыльнокаторжный,815,Ссыльнокаторжный,,,straightforward,approve,Ссыльнокаторжный,,
Женщина свободного состояния,588,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Ссыльнокаторжная,557,Ссыльнокаторжная,,,straightforward,approve,Ссыльнокаторжная,,
Поселка,401,Поселка,,,straightforward,approve,Поселка,,
Свободного состояния,250,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Сын поселенца,250,Сын поселенца,,,straightforward,approve,Сын поселенца,,
Дочь поселенца,236,Дочь поселенца,,,straightforward,approve,Дочь поселенца,,
Крестьянин из ссыльных,232,Крестьянин из ссыльных,,,straightforward,approve,Крестьянин из ссыльных,,
Сын поселки,131,Сын поселки,,,straightforward,approve,Сын поселки,,
Дочь поселки,125,Дочь поселки,,,straightforward,approve,Дочь поселки,,
Дочь ссыльнокаторжной,111,Дочь ссыльнокаторжной,,,straightforward,approve,Дочь ссыльнокаторжной,,
Сын ссыльнокаторжного,110,Сын ссыльнокаторжного,,,straightforward,approve,Сын ссыльнокаторжного,,
Сын ссыльнокаторжной,95,Сын ссыльнокаторжной,,,straightforward,approve,Сын ссыльнокаторжной,,
Дочь ссыльнокаторжного,94,Дочь ссыльнокаторжного,,,straightforward,approve,Дочь ссыльнокаторжного,,
Дочь крестьянина из ссыльных,71,Дочь крестьянина из ссыльных,,,straightforward,approve,Дочь крестьянина из ссыльных,,
Сын крестьянина из ссыльных,70,Сын крестьянина из ссыльных,,,straightforward,approve,Сын крестьянина из ссыльных,,
Крестьянка из ссыльных,69,Крестьянка из ссыльных,,,straightforward,approve,Крестьянка из ссыльных,,
Сын крестьянки из ссыльных,29,Сын крестьянки из ссыльных,,,straightforward,approve,Сын крестьянки из ссыльных,,
Дочь крестьянки из ссыльных,26,Дочь крестьянки из ссыльных,,,straightforward,approve,Дочь крестьянки из ссыльных,,
,24,,,,straightforward,approve,,,
Сын каторжного,22,Сын каторжного,,,straightforward,approve,Сын каторжного,,
Поселенец Тымовского округа,18,Поселенец,,Тымовского округа,straightforward,approve,Поселенец,,
Дочь каторжного,15,Дочь каторжного,,,straightforward,approve,Дочь каторжного,,
Сын крестьянина,14,Сын крестьянина,,,straightforward,correct,Сын крестьянина из ссыльных,,
Жена свободного состояния,12,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Запасной рядовой,11,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Крестьянин,10,Крестьянин,,,straightforward,approve,Крестьянин,,
Сын каторжной,9,Сын каторжной,,,straightforward,approve,Сын каторжной,,
Поселенка,8,Поселка,,,straightforward,approve,Поселка,,
Дочь крестьянина,6,Дочь крестьянина,,,straightforward,correct,Дочь крестьянина из ссыльных,,
Отставной рядовой,6,Отставной рядовой,,,straightforward,approve,Отставной рядовой,,
Запасной унтер-офицер,4,Запасной унтер-офицер,,,straightforward,approve,Запасной унтер-офицер,,
Отставной унтер-офицер,4,Отставной унтер-офицер,,,straightforward,approve,Отставной унтер-офицер,,
Поселенец-богадельщик,4,Поселенец,Богаделец,,straightforward,approve,Поселенец,Богаделец,
Дочь каторжной,3,Дочь каторжной,,,straightforward,approve,Дочь каторжной,,
Запасный рядовой,3,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Крестьянин свободного состояния,3,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Крестьянка,3,Крестьянка,,,straightforward,approve,Крестьянка,,
Отставной фельдфебель,3,Отставной фельдфебель,,,straightforward,approve,Отставной фельдфебель,,
Рядовой,3,Рядовой,,,straightforward,approve,Рядовой,,
Административно сосланный,2,Административный ссыльный,,,straightforward,approve,Административный ссыльный,,
Дочь солдатки,2,Дочь солдатки,,,straightforward,approve,Дочь солдатки,,
Запасный унтер-офицер,2,Запасной унтер-офицер,,,straightforward,approve,Запасной унтер-офицер,,
Крестьянка свободного состояния,2,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Мещанин,2,Мещанин,,,straightforward,approve,Мещанин,,
Поселенец Александровского округа,2,Поселенец,,Александровского округа,straightforward,approve,Поселенец,,
Поселка Тымовского округа,2,Поселка,,Тымовского округа,straightforward,approve,Поселка,,
Свободного состояния жена,2,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Сын крестьянки,2,Сын крестьянки,,,straightforward,correct,Сын крестьянки из ссыльных,,
Сын надворного советника,2,Сын надворного советника,,,straightforward,approve,Сын надворного советника,,
Сын поселенки,2,Сын поселки,,,straightforward,approve,Сын поселки,,
Унтер-офицер,2,Унтер-офицер,,,straightforward,approve,Унтер-офицер,,
Штейгер,2,Штейгер,,,straightforward,approve,Штейгер,,
Административный ссыльный,1,Административный ссыльный,,,straightforward,approve,Административный ссыльный,,
Врач,1,Врач,,,straightforward,approve,Врач,,
Дворянин,1,Дворянин,,,straightforward,approve,Дворянин,,
Дочь крестьянки,1,Дочь крестьянки,,,straightforward,correct,Дочь крестьянки из ссыльных,,
Дочь надворного советника,1,Дочь надворного советника,,,straightforward,approve,Дочь надворного советника,,
Дочь отставного рядового,1,Дочь отставного рядового,,,straightforward,approve,Дочь отставного рядового,,
Дочь подполковника,1,Дочь подполковника,,,straightforward,approve,Дочь подполковника,,
Дочь поселенеца Тымовского округа,1,Дочь поселенца,,Тымовского округа,straightforward,approve,Дочь поселенца,,
Дочь поселенца. Дочь,1,Дочь поселенца,,,straightforward,approve,Дочь поселенца,,
Дочь рядового,1,Дочь рядового,,,straightforward,approve,Дочь рядового,,
Жена врача,1,,,,owner_review,correct,Жена врача,,
Жена надворного советника дочь поселенца,1,,,,owner_review,correct,Жена надворного советника,,
Жена подполковника,1,,,,owner_review,correct,Жена подполковника,,
Жена рядового,1,,,,owner_review,correct,Жена рядового,,
Жена рядового Дуйской команды,1,,,Дуйской команды,owner_review,correct,Жена рядового,,
Женщина свободного состояния. Жена,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Запасный ефрейтор,1,Запасной ефрейтор,,,straightforward,approve,Запасной ефрейтор,,
Канцелярский служащий,1,Канцелярский служащий,,,straightforward,approve,Канцелярский служащий,,
Капитан,1,Капитан,,,straightforward,approve,Капитан,,
Крестьянин из крестьян,1,Крестьянин,,,straightforward,approve,Крестьянин,,
Крестьянин из поселенцев,1,Крестьянин из поселенцев,,,straightforward,correct,Крестьянин из ссыльных,,
Крестьянин из ссыльнопоселенцев,1,Крестьянин из ссыльных,,,straightforward,approve,Крестьянин из ссыльных,,
Кузнец,1,Кузнец,,,straightforward,approve,Кузнец,,
Мещанин г. Николаевска,1,Мещанин,,г. Николаевска,straightforward,approve,Мещанин,,
Надворный советник,1,Надворный советник,,,straightforward,approve,Надворный советник,,
Незаконнорожденная дочь поселки,1,Незаконнорожденная дочь поселки,,,straightforward,correct,Дочь поселки,,
Повивальная бабка,1,Повивальная бабка,,,straightforward,approve,Повивальная бабка,,
Подполковник,1,Подполковник,,,straightforward,approve,Подполковник,,
Подпоручик,1,Подпоручик,,,straightforward,approve,Подпоручик,,
Поселенец временно уволенный,1,Поселенец,,временно уволенный,straightforward,approve,Поселенец,,
Поселка (богадельщик),1,Поселка,Богаделец,,straightforward,correct,Поселенец,Богаделец,typo in source
Почетный гражданин административный ссыльный,1,Административный ссыльный,,Почетный гражданин,owner_review,approve,Административный ссыльный,,
Рядовой Дуйской команды,1,Рядовой,,Дуйской команды,straightforward,approve,Рядовой,,
Рядовой запаса,1,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Свободного состояния Тымовского округа,1,Свободного состояния,,Тымовского округа,straightforward,approve,Свободного состояния,,
Свободного состояния жена поселенца,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Свободного состояния мещанин,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Свободного состояния солдатка,1,Свободного состояния,,,straightforward,approve,Свободного состояния,,
Совладелец,1,Совладелец,,,straightforward,approve,Совладелец,,
Старший надзиратель,1,Старший надзиратель,,,straightforward,approve,Старший надзиратель,,
Сын подполковника,1,Сын подполковника,,,straightforward,approve,Сын подполковника,,
Сын поселки Тымовского округа,1,Сын поселки,,Тымовского округа,straightforward,approve,Сын поселки,,
Сын рядового,1,Сын рядового,,,straightforward,approve,Сын рядового,,
Сын солдатки,1,Сын солдатки,,,straightforward,approve,Сын солдатки,,
Уволенный в запас Армии Рядовой,1,Запасной рядовой,,,straightforward,approve,Запасной рядовой,,
Фельдшер,1,Фельдшер,,,straightforward,approve,Фельдшер,,
